comentario,tokens_limpios,features
"Empecé a usar Antihelios y la verdad, tiene una textura exquisita, es muy liquido, por tanto, permite que se esparza muy bien, sin necesidad de usar cantidades muy grandes. Simplemente un producto genial!","['empecé', 'usar', 'antihelios', 'verdad', 'textura', 'exquisita', 'liquido', 'permite', 'esparza', 'bien', 'necesidad', 'usar', 'cantidades', 'grandes', 'simplemente', 'producto', 'genial']",[0. 0. 0. ... 0. 0. 0.]
Me encanta es perfecto para tapar imperfecciones y cuidar nuestra piel aparte no es graso,"['encanta', 'perfecto', 'tapar', 'imperfecciones', 'cuidar', 'piel', 'aparte', 'graso']",[0. 0. 0. ... 0. 0. 0.]
"El producto es de muy buena calidad, me encanto mucho su textura, a diferencia de otros bloqueadores que he utilizado, este tiene una textura más suave al ser líquida, no me duelen los ojos al aplicarlo, cosa que si sucedía con otras marcas","['producto', 'buena', 'calidad', 'encanto', 'textura', 'diferencia', 'bloqueadores', 'utilizado', 'textura', 'suave', 'ser', 'líquida', 'duelen', 'ojos', 'aplicarlo', 'cosa', 'si', 'sucedía', 'marcas']",[0. 0. 0. ... 0. 0. 0.]
Me encanto es perfecto para deportistas porque no deja marcas al correr el sudor 😍,"['encanto', 'perfecto', 'deportistas', 'deja', 'marcas', 'correr', 'sudor']",[0. 0. 0. ... 0. 0. 0.]
"El producto es 💯% recomendable, la cremosidad del producto es adecuado para la piel, el líquido es el adecuado y el factor apropiado.","['producto', 'recomendable', 'cremosidad', 'producto', 'adecuado', 'piel', 'líquido', 'adecuado', 'factor', 'apropiado']",[0. 0. 0. ... 0. 0. 0.]
"Excelente protector solar! es ligero, no graso y además perfecto para quienes tenemos piel sensible! La cobertura es justa y necesaria, 100% recomendado! Su textura liquida hace que sea muy fluido y además dura una eternidad","['excelente', 'protector', 'solar', 'ligero', 'graso', 'además', 'perfecto', 'piel', 'sensible', 'cobertura', 'justa', 'necesaria', 'recomendado', 'textura', 'liquida', 'hace', 'fluido', 'además', 'dura', 'eternidad']",[0. 0. 0. ... 0. 0. 0.]
Exelente producto muy bueno te ahorras la base ..no es pegajoso 👌,"['exelente', 'producto', 'bueno', 'ahorras', 'base', 'pegajoso']",[0. 0. 0. ... 0. 0. 0.]
"Me encanta este producto me lo compro siempre cuando está en oferta porque vale la pena dura mucho tiempo y cubre muy bien la piel, además se disuelve rápido no queda grasoso","['encanta', 'producto', 'compro', 'siempre', 'oferta', 'vale', 'pena', 'dura', 'tiempo', 'cubre', 'bien', 'piel', 'además', 'disuelve', 'rápido', 'queda', 'grasoso']",[0. 0. 0. ... 0. 0. 0.]
"Queda la piel fantástica, lo recomiendo","['queda', 'piel', 'fantástica', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
El tamaño es igual al de la foto súper fácil de transportar,"['tamaño', 'igual', 'foto', 'súper', 'fácil', 'transportar']",[0. 0. 0. ... 0. 0. 0.]
MUI buen producto séquito no se ve como una mascara,"['mui', 'buen', 'producto', 'séquito', 've', 'mascara']",[0. 0. 0. ... 0. 0. 0.]
"Excelente producto, acabado seco me encanto","['excelente', 'producto', 'acabado', 'seco', 'encanto']",[0. 0. 0. ... 0. 0. 0.]
"Es de muy buena calidad, tenía mis dudas al usarlo porq mi piel es muy delicada pero no es perfecto lo recomiendo...","['buena', 'calidad', 'dudas', 'usarlo', 'porq', 'piel', 'delicada', 'perfecto', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
"Es del tamaño adecuado, viene con color super natural y buena calidad","['tamaño', 'adecuado', 'viene', 'color', 'super', 'natural', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
La textura es muy buena se adapta muy bien a la piel.,"['textura', 'buena', 'adapta', 'bien', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"Me encanta, porque deja mi piel bacán","['encanta', 'deja', 'piel', 'bacán']",[0. 0. 0. ... 0. 0. 0.]
"Es excelente en calidad, deja la piel hidratada, el producto es igual a la foto y tiene un aroma agradable","['excelente', 'calidad', 'deja', 'piel', 'hidratada', 'producto', 'igual', 'foto', 'aroma', 'agradable']",[0. 0. 0. ... 0. 0. 0.]
"Es de buen tamaño, textura que matifica la piel del rostro y a la vez protegiéndola del sol, como recién maquillada, es la mejor","['buen', 'tamaño', 'textura', 'matifica', 'piel', 'rostro', 'vez', 'protegiéndola', 'sol', 'recién', 'maquillada', 'mejor']",[0. 0. 0. ... 0. 0. 0.]
muy buen producto de observe rapido y no queda la piel pesada,"['buen', 'producto', 'observe', 'rapido', 'queda', 'piel', 'pesada']",[0. 0. 0. ... 0. 0. 0.]
El producto es de calidad y utilidad y corresponde el tamaño,"['producto', 'calidad', 'utilidad', 'corresponde', 'tamaño']",[0. 0. 0. ... 0. 0. 0.]
"Ya había probado la versión sin color y lo amé, pero esta versión con color me encantó!","['probado', 'versión', 'color', 'amé', 'versión', 'color', 'encantó']",[0. 0. 0. ... 0. 0. 0.]
"Deja la piel muy suave y protegida, y aparte lo compre en oferta 10/10","['deja', 'piel', 'suave', 'protegida', 'aparte', 'compre', 'oferta']",[0. 0. 0. ... 0. 0. 0.]
es de buena calidad y se absorbe bien,"['buena', 'calidad', 'absorbe', 'bien']",[0. 0. 0. ... 0. 0. 0.]
"el tamaño correspondiente, es igual a la fotografía, deja la piel muy hidratada y con un tono bello. tengo piel sensible y con rosácea, y no he tenido ningún problema, realmente lo recomiendo.","['tamaño', 'correspondiente', 'igual', 'fotografía', 'deja', 'piel', 'hidratada', 'tono', 'bello', 'piel', 'sensible', 'rosácea', 'ningún', 'problema', 'realmente', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
el producto corresponde a la descripción,"['producto', 'corresponde', 'descripción']",[0. 0. 0. ... 0. 0. 0.]
"Excelente, tengo principio de rosácea y es el único bloqueador que mi piel soporta","['excelente', 'principio', 'rosácea', 'único', 'bloqueador', 'piel', 'soporta']",[0.        0.        0.        ... 0.        0.3661173 0.       ]
"Excelente producto, no deja grasosa la cara y no irrita los ojos Recomendable","['excelente', 'producto', 'deja', 'grasosa', 'cara', 'irrita', 'ojos', 'recomendable']",[0. 0. 0. ... 0. 0. 0.]
muy buen producto y a un buen precio!!,"['buen', 'producto', 'buen', 'precio']",[0. 0. 0. ... 0. 0. 0.]
Me encanta lo uso en mi cara ya que no deja la sensacion de arena en la cara y deja la piel bien hidratada,"['encanta', 'uso', 'cara', 'deja', 'sensacion', 'arena', 'cara', 'deja', 'piel', 'bien', 'hidratada']",[0. 0. 0. ... 0. 0. 0.]
"Excelente calidad de producto. Lo compré para mi hija de 15 años que tiene la piel ultra sensible y le encantó! Tiene una textura ligera exquisita y no deja manchas blancas. Mi hija dice que le encanta porque le deja la piel con efecto glowy. El contenido es 50 ml como se indica en la descripción, es pequeño, pero cumple al 100 por ciento la descripción en cuanto a protección.","['excelente', 'calidad', 'producto', 'compré', 'hija', 'años', 'piel', 'ultra', 'sensible', 'encantó', 'textura', 'ligera', 'exquisita', 'deja', 'manchas', 'blancas', 'hija', 'dice', 'encanta', 'deja', 'piel', 'efecto', 'glowy', 'contenido', 'ml', 'indica', 'descripción', 'pequeño', 'cumple', 'ciento', 'descripción', 'cuanto', 'protección']",[0. 0. 0. ... 0. 0. 0.]
Si es igual que el de la foto y lo he comprado por buenas referencias,"['si', 'igual', 'foto', 'comprado', 'buenas', 'referencias']",[0. 0. 0. ... 0. 0. 0.]
Buenísimo es para mi hija y le encantó Es igual a la foto,"['buenísimo', 'hija', 'encantó', 'igual', 'foto']",[0. 0. 0. ... 0. 0. 0.]
"Producto de calidad, ideal para imperfecciones","['producto', 'calidad', 'ideal', 'imperfecciones']",[0. 0. 0. ... 0. 0. 0.]
"Bueno es De buena Calidad y super recomendada, aunque el tamaño es más pequeño en físico.","['bueno', 'buena', 'calidad', 'super', 'recomendada', 'aunque', 'tamaño', 'pequeño', 'físico']",[0. 0. 0. ... 0. 0. 0.]
Es igual a como se muestra en la foto y de buena calidad,"['igual', 'muestra', 'foto', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
"Igual a la foto, excente producto,llego en la fecha exacta","['igual', 'foto', 'excente', 'productollego', 'fecha', 'exacta']",[0. 0. 0. ... 0. 0. 0.]
"Me encanta es super grande, mucho mejor de lo que me esperaba","['encanta', 'super', 'grande', 'mejor', 'esperaba']",[0. 0. 0. ... 0. 0. 0.]
"Buen producto, idéntico a la foto","['buen', 'producto', 'idéntico', 'foto']",[0. 0. 0. ... 0. 0. 0.]
El tamaño y la foto corresponde al producto el tamaño y foto fiel a la realidad,"['tamaño', 'foto', 'corresponde', 'producto', 'tamaño', 'foto', 'fiel', 'realidad']",[0. 0. 0. ... 0. 0. 0.]
"mi piel no estaba respondiendo a ningun producto hasta que llegue a este. Lo amo, volveré a utilizarlo","['piel', 'respondiendo', 'ningun', 'producto', 'llegue', 'amo', 'volveré', 'utilizarlo']",[0. 0. 0. ... 0. 0. 0.]
"Es idéntico a lo que se ve por la web , tiene buena presentación , es de un tamaño adecuado, la calidad es buenísima.","['idéntico', 've', 'web', 'buena', 'presentación', 'tamaño', 'adecuado', 'calidad', 'buenísima']",[0. 0. 0. ... 0. 0. 0.]
"Excelente producto, cumple con su función y me ayuda mucho con las manchas","['excelente', 'producto', 'cumple', 'función', 'ayuda', 'manchas']",[0. 0. 0. ... 0. 0. 0.]
"El producto es bueno, viene de acuerdo a las especificaciones que están descritas en la web y el envío fue rapido","['producto', 'bueno', 'viene', 'acuerdo', 'especificaciones', 'descritas', 'web', 'envío', 'rapido']",[0. 0. 0. ... 0. 0. 0.]
La crema es excelente y lo bueno que además de hidratar tiene protección solar,"['crema', 'excelente', 'bueno', 'además', 'hidratar', 'protección', 'solar']",[0. 0. 0. ... 0. 0. 0.]
"Excelente calidad, el envío fue muy rápido.","['excelente', 'calidad', 'envío', 'rápido']",[0. 0. 0. ... 0. 0. 0.]
"Me va súper bien con esta crema, ya que reduce mis granitos y me mantiene la piel más linda","['va', 'súper', 'bien', 'crema', 'reduce', 'granitos', 'mantiene', 'piel', 'linda']",[0. 0. 0. ... 0. 0. 0.]
"obviamente es igual a la foto. en términos de calidad, es espectacular. a veces el precio no es tan accesible, pero los resultados se ven casi de manera inmediata","['obviamente', 'igual', 'foto', 'términos', 'calidad', 'espectacular', 'veces', 'precio', 'tan', 'accesible', 'resultados', 'ven', 'casi', 'manera', 'inmediata']",[0. 0. 0. ... 0. 0. 0.]
"Los productos la Roche dificilmente te defraudan, son la mejor calidad entre todas las marcas de estos franceses. La linea Effaclair es para gente con piel grasa, si no la tienes grasa no la compres porque te picara la cara, consulta siempre a las personas de los stand de vichy que crema usar si no perderas el dinero.","['productos', 'roche', 'dificilmente', 'defraudan', 'mejor', 'calidad', 'todas', 'marcas', 'franceses', 'linea', 'effaclair', 'gente', 'piel', 'grasa', 'si', 'grasa', 'compres', 'picara', 'cara', 'consulta', 'siempre', 'personas', 'stand', 'vichy', 'crema', 'usar', 'si', 'perderas', 'dinero']",[0. 0. 0. ... 0. 0. 0.]
"Excelente producto de textura ligera. Mis problemas de acne han quedado resueltos, los poros se ven mas pequeños y sin puntos negros. La constancia lo ha hecho todo. Lo aplico en las mañanas y luego el bloqueador. Excelentes resultados.","['excelente', 'producto', 'textura', 'ligera', 'problemas', 'acne', 'quedado', 'resueltos', 'poros', 'ven', 'mas', 'pequeños', 'puntos', 'negros', 'constancia', 'hecho', 'aplico', 'mañanas', 'luego', 'bloqueador', 'excelentes', 'resultados']",[0. 0. 0. ... 0. 0. 0.]
"La roche posay es excelente pero con esto se lucio, ayuda mucho con las manchas post acne","['roche', 'posay', 'excelente', 'lucio', 'ayuda', 'manchas', 'post', 'acne']",[0. 0. 0. ... 0. 0. 0.]
"Muy buen producto para el acné, sobre todo para el maskné, se siente el cambio desde la primera semana de uso.","['buen', 'producto', 'acné', 'maskné', 'cambio', 'primera', 'semana', 'uso']",[0. 0. 0. ... 0. 0. 0.]
"Es muy eficaz deja el rostro limpio, suave y sin manchas vas notando el cambio desde su primera semana notando las manchas más difuminadas","['eficaz', 'deja', 'rostro', 'limpio', 'suave', 'manchas', 'vas', 'notando', 'cambio', 'primera', 'semana', 'notando', 'manchas', 'difuminadas']",[0. 0. 0. ... 0. 0. 0.]
Me encanta! Muy rápida eficacia en conjunto con el MAT también de la roche. Recomendable 1000%,"['encanta', 'rápida', 'eficacia', 'conjunto', 'mat', 'roche', 'recomendable']",[0. 0. 0. ... 0. 0. 0.]
Es igual al de la foto ! es buena para mi tipo de piel y me ayuda a desaparecer los granitos.,"['igual', 'foto', 'buena', 'tipo', 'piel', 'ayuda', 'desaparecer', 'granitos']",[0. 0. 0. ... 0. 0. 0.]
es buen producto pero mancha y no se absorbe completamente,"['buen', 'producto', 'mancha', 'absorbe', 'completamente']",[0. 0. 0. ... 0. 0. 0.]
"La calidad no la veo aún, no veo mejoría","['calidad', 'veo', 'aún', 'veo', 'mejoría']",[0. 0. 0. ... 0. 0. 0.]
"Excelente calidad, lo uso permanente.","['excelente', 'calidad', 'uso', 'permanente']",[0. 0. 0. ... 0. 0. 0.]
"Aún lo estoy probando, me gusta la textura y que no tiene fragancia","['aún', 'probando', 'gusta', 'textura', 'fragancia']",[0. 0. 0. ... 0. 0. 0.]
"En lo personal, el tamaño del producto es el real ya que contiene la cantidad que se “supone” que debería tene de crema y no está llenado de “aire” ✨🙌🏻. Lo he usado dls semana y ya noto cambios en mi piel💖","['personal', 'tamaño', 'producto', 'real', 'contiene', 'cantidad', 'supone', 'debería', 'tene', 'crema', 'llenado', 'aire', 'usado', 'dls', 'semana', 'noto', 'cambios', 'piel']",[0. 0. 0. ... 0. 0. 0.]
Todo en la descripción es tal cual el producto. Estoy conforme con mi compra,"['descripción', 'tal', 'producto', 'conforme', 'compra']",[0. 0. 0. ... 0. 0. 0.]
"Llegó en el tiempo indicado, todo bien","['llegó', 'tiempo', 'indicado', 'bien']",[0. 0. 0. ... 0. 0. 0.]
Es un producto que cumple con lo pronetido tiene muy biena protección solar,"['producto', 'cumple', 'pronetido', 'biena', 'protección', 'solar']",[0. 0. 0. ... 0. 0. 0.]
Es un producto muy recomendable,"['producto', 'recomendable']",[0. 0. 0. ... 0. 0. 0.]
"Excelente producto, no sabia que había uno para la noche y otro para el día. Lo recomiendo.","['excelente', 'producto', 'sabia', 'noche', 'día', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
"Es muy buen producto, siempre lo compro.","['buen', 'producto', 'siempre', 'compro']",[0. 0. 0. ... 0. 0. 0.]
Exelente producto.ideal.para eliminar imperfecciones y minimizar poros en mi caso en el área querida la nariz,"['exelente', 'productoidealpara', 'eliminar', 'imperfecciones', 'minimizar', 'poros', 'caso', 'área', 'querida', 'nariz']",[0. 0. 0. ... 0. 0. 0.]
Igual a la foto y súper efecto,"['igual', 'foto', 'súper', 'efecto']",[0. 0. 0. ... 0. 0. 0.]
"Lo uso todos los días, es ligero con un aroma sutil y como tiene protección solar es como usar un bloqueador. Lo único es que si lo pones muy cerca de los ojos puede incomodar.","['uso', 'días', 'ligero', 'aroma', 'sutil', 'protección', 'solar', 'usar', 'bloqueador', 'único', 'si', 'pones', 'cerca', 'ojos', 'puede', 'incomodar']",[0.         0.         0.         ... 0.         0.24404398 0.        ]
Borra inperfeciones a la semana de uso,"['borra', 'inperfeciones', 'semana', 'uso']",[0. 0. 0. ... 0. 0. 0.]
"Fácil la compra. El producto es muy bueno, precio calidad","['fácil', 'compra', 'producto', 'bueno', 'precio', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
"EXCELENTE COMO SIEMPRE , SU TEXTURA Y LA FORMA EN QUE ACTUA EN LA PIEL, RECOMENDADO PARA AQUELLOS QUE TIENEN PIEL DE TIPO GRASA.","['excelente', 'siempre', 'textura', 'forma', 'actua', 'piel', 'recomendado', 'aquellos', 'piel', 'tipo', 'grasa']",[0. 0. 0. ... 0. 0. 0.]
Demasiado bueno me ayudo mucho con el acne en menos de 3 semanas me lo disminuyo,"['demasiado', 'bueno', 'ayudo', 'acne', 'menos', 'semanas', 'disminuyo']",[0. 0. 0. ... 0. 0. 0.]
"A los pocos días de uso logras ver tu piel Lisa, te va limpiando impurezas, es necesario ser constante para ver resultados más rápido lo mejor es que tiene protector!","['pocos', 'días', 'uso', 'logras', 'ver', 'piel', 'lisa', 'va', 'limpiando', 'impurezas', 'necesario', 'ser', 'constante', 'ver', 'resultados', 'rápido', 'mejor', 'protector']",[0. 0. 0. ... 0. 0. 0.]
La mejor para el acné!! Cumplió 100% mis expectativas,"['mejor', 'acné', 'cumplió', 'expectativas']",[0. 0. 0. ... 0. 0. 0.]
"A principio arde un poco, pero en dos días ya tuve cambios en mi piel, disminuyeron granos, manchas e hinchazón. La piel se ve más limpia, queda suave. A mi me a dado buenos resultados, yo la complementó con el gel.","['principio', 'arde', 'dos', 'días', 'cambios', 'piel', 'disminuyeron', 'granos', 'manchas', 'hinchazón', 'piel', 've', 'limpia', 'queda', 'suave', 'dado', 'buenos', 'resultados', 'complementó', 'gel']",[0. 0. 0. ... 0. 0. 0.]
"De textura ligera, excelente producto, cumple todo lo prometido. Retexturiza la piel desde la primera semana.","['textura', 'ligera', 'excelente', 'producto', 'cumple', 'prometido', 'retexturiza', 'piel', 'primera', 'semana']",[0. 0. 0. ... 0. 0. 0.]
Muy buen producto a mi hija le funciona bien.,"['buen', 'producto', 'hija', 'funciona', 'bien']",[0. 0. 0. ... 0. 0. 0.]
Corresponde al tamaño y es de buena calidad,"['corresponde', 'tamaño', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
"Sin problemas, tal cual en la foto","['problemas', 'tal', 'foto']",[0. 0. 0. ... 0. 0. 0.]
la use en varias ocasiones y se nota la diferencia en la piel con el uso constante!,"['use', 'varias', 'ocasiones', 'nota', 'diferencia', 'piel', 'uso', 'constante']",[0. 0. 0. ... 0. 0. 0.]
Si tienes el. Rostro demasiado grasoso o los poros dilatados tienes una sensación de pesadez en el rostro. En mi caso me dejo brilloso el rostro. Sin factor la textura es más ligera,"['si', 'rostro', 'demasiado', 'grasoso', 'poros', 'dilatados', 'sensación', 'pesadez', 'rostro', 'caso', 'dejo', 'brilloso', 'rostro', 'factor', 'textura', 'ligera']",[0. 0. 0. ... 0. 0. 0.]
"El producto cumple 100 de 100, es de muy buena calidad,","['producto', 'cumple', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
Es muy rico de sentir,"['rico', 'sentir']",[0. 0. 0. ... 0. 0. 0.]
Reduce la imperfecciones,"['reduce', 'imperfecciones']",[0. 0. 0. ... 0. 0. 0.]
"Me encantaron, el shampoo, acondicionador y el activador de rulos, me dejan el pelo súper definido y lindo, sin duda los voy a volver a comprar.","['encantaron', 'shampoo', 'acondicionador', 'activador', 'rulos', 'dejan', 'pelo', 'súper', 'definido', 'lindo', 'duda', 'voy', 'volver', 'comprar']",[0. 0. 0. ... 0. 0. 0.]
el producto es genial y super efectivo en cuanto al despacho fue rapido,"['producto', 'genial', 'super', 'efectivo', 'cuanto', 'despacho', 'rapido']",[0. 0. 0. ... 0. 0. 0.]
"Me gusta, es para mi tratamiento m.","['gusta', 'tratamiento', 'm']",[0. 0. 0. ... 0. 0. 0.]
"Realmente me fue muy bien es un producto de gran utilidad, se nota la calidad, no lo que no me gusta es que sea de 40 ml xq se acaba un poco rápido después de todo muy bien todo","['realmente', 'bien', 'producto', 'gran', 'utilidad', 'nota', 'calidad', 'gusta', 'ml', 'xq', 'acaba', 'rápido', 'después', 'bien']",[0. 0. 0. ... 0. 0. 0.]
Muy bien cerca domicilio,"['bien', 'cerca', 'domicilio']",[0. 0. 0. ... 0. 0. 0.]
Muy bueno el producto,"['bueno', 'producto']",[0. 0. 0. ... 0. 0. 0.]
Esta siendo buena Si es igual a la foto,"['siendo', 'buena', 'si', 'igual', 'foto']",[0. 0. 0. ... 0. 0. 0.]
"Excelente, llevo mucho tiempo usándolo y ha disminuido harto las marcas en la piel","['excelente', 'llevo', 'tiempo', 'usándolo', 'disminuido', 'harto', 'marcas', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"Es igual a la foto , y el producto vale la pena aparte de ser una crema tiene protector solar","['igual', 'foto', 'producto', 'vale', 'pena', 'aparte', 'ser', 'crema', 'protector', 'solar']",[0. 0. 0. ... 0. 0. 0.]
"Todo corresponde con lo que leí, la maca tiene muy buenos productos","['corresponde', 'leí', 'maca', 'buenos', 'productos']",[0. 0. 0. ... 0. 0. 0.]
Es corresponde a la foto y de muy buena calidad,"['corresponde', 'foto', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
"Me encantó es totalmente lo que esperaba, con 2 semanas de uso ya he sentido algunos cambios en mi piel, lo recomiendo 100%","['encantó', 'totalmente', 'esperaba', 'semanas', 'uso', 'cambios', 'piel', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
cumple con la descripción,"['cumple', 'descripción']",[0. 0. 0. ... 0. 0. 0.]
"Rica textura aclara la piel y elimina las espinillas, hay que ser rigurosos y lavarse con el jabón de la misma marca","['rica', 'textura', 'aclara', 'piel', 'elimina', 'espinillas', 'ser', 'rigurosos', 'lavarse', 'jabón', 'misma', 'marca']",[0. 0. 0. ... 0. 0. 0.]
"buena calidad, excelente","['buena', 'calidad', 'excelente']",[0. 0. 0. ... 0. 0. 0.]
"Me encantó, no tengo queja alguna. súper ligera y se absorve toda, no deja la piel grasosa.","['encantó', 'queja', 'alguna', 'súper', 'ligera', 'absorve', 'toda', 'deja', 'piel', 'grasosa']",[0. 0. 0. ... 0. 0. 0.]
"La primera vez q lo uso y no tengo ninguna queja, me a funcionado muy bien. A parte de ser liviano y ligero.","['primera', 'vez', 'q', 'uso', 'ninguna', 'queja', 'funcionado', 'bien', 'parte', 'ser', 'liviano', 'ligero']",[0. 0. 0. ... 0. 0. 0.]
"No soy de piel con acné pero cuando me salió unos granitos en la cara, me los reventé y me quedó marca, vi por ahí que este producto funcionaba y lo probé. Y sí me funcionó, mi marcas se borraron y ahora lo uso todos los días pero solo en la zona donde ya tengo un granito o donde usualmente me sale","['piel', 'acné', 'salió', 'granitos', 'cara', 'reventé', 'quedó', 'marca', 'vi', 'ahí', 'producto', 'funcionaba', 'probé', 'funcionó', 'marcas', 'borraron', 'ahora', 'uso', 'días', 'solo', 'zona', 'granito', 'usualmente', 'sale']",[0. 0. 0. ... 0. 0. 0.]
Excelente producto. Llevo dos meses con el y el acné ha desparecido en su totalidad. Permite realizar actividades al aire libre sin necesidad de utilizar bloqueador gracias a la protección solar incluida. Recomendable,"['excelente', 'producto', 'llevo', 'dos', 'meses', 'acné', 'desparecido', 'totalidad', 'permite', 'realizar', 'actividades', 'aire', 'libre', 'necesidad', 'utilizar', 'bloqueador', 'gracias', 'protección', 'solar', 'incluida', 'recomendable']",[0. 0. 0. ... 0. 0. 0.]
"Se me hace muy buenos esos productos lo único negativo es que los precios se han elevado muchísimo a lo que costaba antes , deberia poder bajar los precios ya es demasiado elevado , de los contrario tambien seria que puedan tener descuentos exclusivos personas que compran demasiado estos productos","['hace', 'buenos', 'productos', 'único', 'negativo', 'precios', 'elevado', 'muchísimo', 'costaba', 'deberia', 'poder', 'bajar', 'precios', 'demasiado', 'elevado', 'contrario', 'tambien', 'seria', 'puedan', 'tener', 'descuentos', 'exclusivos', 'personas', 'compran', 'demasiado', 'productos']",[0.         0.         0.         ... 0.         0.13139203 0.        ]
"He usado el sin SPF 30 y comparándolos, pues este no es muy ligero. Corresponde el tamaño y producto, buena compra.","['usado', 'spf', 'comparándolos', 'pues', 'ligero', 'corresponde', 'tamaño', 'producto', 'buena', 'compra']",[0. 0. 0. ... 0. 0. 0.]
"Llevo poquito usándolo, mi piel se ve mejor. Lo utilizo junto al jabón y sérum de effaclar.","['llevo', 'poquito', 'usándolo', 'piel', 've', 'mejor', 'utilizo', 'junto', 'jabón', 'sérum', 'effaclar']",[0. 0. 0. ... 0. 0. 0.]
corrige las imperfecciones y deja una piel mas fuerte y protegida,"['corrige', 'imperfecciones', 'deja', 'piel', 'mas', 'fuerte', 'protegida']",[0. 0. 0. ... 0. 0. 0.]
"Para mi a resultado un buen producto, efectivo para mi tratamiento de rosasea.","['resultado', 'buen', 'producto', 'efectivo', 'tratamiento', 'rosasea']",[0. 0. 0. ... 0. 0. 0.]
"Para mí malísimo producto, su textura es riquísima pero en vez de disminuir mis granos empeoró, ocupé más de 2 meses y me dejó la escoba en la cara. Una lástima. Todas las pieles no funcionan igual.","['malísimo', 'producto', 'textura', 'riquísima', 'vez', 'disminuir', 'granos', 'empeoró', 'ocupé', 'meses', 'dejó', 'escoba', 'cara', 'lástima', 'todas', 'pieles', 'funcionan', 'igual']",[0. 0. 0. ... 0. 0. 0.]
"Mi dermatologa me lo recomendo y quede encantado con la acción que tiene sobre la piel, no solo borra las manchas, te la deja uniforme con tu tono de piel","['dermatologa', 'recomendo', 'quede', 'encantado', 'acción', 'piel', 'solo', 'borra', 'manchas', 'deja', 'uniforme', 'tono', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"Buena textura, no grasoso y cumple su función","['buena', 'textura', 'grasoso', 'cumple', 'función']",[0. 0. 0. ... 0. 0. 0.]
Todo muy bien en todo sentido. Le doy 3 x q arde 🔥 en algunas partes de mi rostro,"['bien', 'doy', 'x', 'q', 'arde', 'partes', 'rostro']",[0. 0. 0. ... 0. 0. 0.]
"Es excelente, no deja brillante la cara y se aplica super fácil","['excelente', 'deja', 'brillante', 'cara', 'aplica', 'super', 'fácil']",[0. 0. 0. ... 0. 0. 0.]
"Increíble. El tamaño es correcto a la imagen, es sencillo de llevar. El producto es de buena calidad.","['increíble', 'tamaño', 'correcto', 'imagen', 'sencillo', 'llevar', 'producto', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
"Súper práctico para reaplicar, incluso encima del maquillaje 🩷","['súper', 'práctico', 'reaplicar', 'incluso', 'encima', 'maquillaje']",[0. 0. 0. ... 0. 0. 0.]
El tamaño corresponde a la foto y se ve que es de buena calidad,"['tamaño', 'corresponde', 'foto', 've', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
"Es de un buen tamaño, muy práctico y sobre todo muy buen producto, si cumple mis expectativas.","['buen', 'tamaño', 'práctico', 'buen', 'producto', 'si', 'cumple', 'expectativas']",[0. 0. 0. ... 0. 0. 0.]
Deja mate la piel lo ame,"['deja', 'mate', 'piel', 'ame']",[0. 0. 0. ... 0. 0. 0.]
"Mi experiencia fue muy buena, el tamaño del producto es idéntico al de la foto. Además, la primera vez que la utilice me dejo la piel muy suave, mate y para nada brillosa, es por ello que me encantó el producto y lo recomiendo totalmente.","['experiencia', 'buena', 'tamaño', 'producto', 'idéntico', 'foto', 'además', 'primera', 'vez', 'utilice', 'dejo', 'piel', 'suave', 'mate', 'brillosa', 'ello', 'encantó', 'producto', 'recomiendo', 'totalmente']",[0. 0. 0. ... 0. 0. 0.]
"Me gusta la textura y si percibo que protege del sol, pero no va muy bien con maquillaje además sentí que me aumento puntos negros. Tengo piel grasa","['gusta', 'textura', 'si', 'percibo', 'protege', 'sol', 'va', 'bien', 'maquillaje', 'además', 'sentí', 'aumento', 'puntos', 'negros', 'piel', 'grasa']",[0. 0. 0. ... 0. 0. 0.]
"Es un producto pequeño de muy buena calidad, ideal para llevarlo contigo a todas partes.","['producto', 'pequeño', 'buena', 'calidad', 'ideal', 'llevarlo', 'contigo', 'todas', 'partes']",[0. 0. 0. ... 0. 0. 0.]
Me encanta como deja la sensación del bloqueador en la cara,"['encanta', 'deja', 'sensación', 'bloqueador', 'cara']",[0. 0. 0. ... 0. 0. 0.]
"Recomendado , yo soy piel graso y me deja sin brillo","['recomendado', 'piel', 'graso', 'deja', 'brillo']",[0. 0. 0. ... 0. 0. 0.]
